filename,dhash,phash,whash,nmfhash,isMatching
bright_0.jpg,0.0546875,0.0234375,0.0078125,0.7927102362178382,True
bright_1.jpg,0.03125,0.046875,0.03125,0.8352272715863827,True
bright_10.jpg,0.015625,0.0546875,0.015625,0.9885114371638455,True
bright_100.jpg,0.01171875,0.03125,0.015625,0.996996108936126,True
bright_1000.jpg,0.03125,0.0625,0.0234375,0.772555437103872,True
bright_1001.jpg,0.09765625,0.140625,0.03125,0.49747048088846524,True
bright_1002.jpg,0.046875,0.046875,0.078125,0.7135209006320203,True
bright_1003.jpg,0.03515625,0.0859375,0.03125,0.7689218301219589,True
bright_1004.jpg,0.1015625,0.078125,0.0234375,0.6292309802539237,True
bright_1005.jpg,0.1015625,0.0859375,0.0546875,0.36279645882127587,True
bright_1006.jpg,0.015625,0.0234375,0.0,0.9996086946527653,True
bright_1007.jpg,0.04296875,0.078125,0.0390625,0.7717286754540632,True
bright_1008.jpg,0.05859375,0.125,0.0625,0.814982502159562,True
bright_1009.jpg,0.0625,0.0546875,0.0625,0.8664075245317848,True
bright_101.jpg,0.0234375,0.09375,0.0078125,0.9442763484898101,True
bright_1010.jpg,0.171875,0.140625,0.09375,0.9146430605794511,True
bright_1011.jpg,0.05859375,0.0703125,0.0234375,0.7585422562836706,True
bright_1012.jpg,0.0625,0.0703125,0.0234375,0.7394178789882853,True
bright_1013.jpg,0.05859375,0.0390625,0.03125,0.5916851703097148,True
bright_1014.jpg,0.03515625,0.0390625,0.0078125,0.9941047987642779,True
bright_1015.jpg,0.04296875,0.0546875,0.0234375,0.3050243478384824,True
bright_1016.jpg,0.0703125,0.0859375,0.03125,0.9255965950796468,True
bright_1017.jpg,0.13671875,0.1484375,0.15625,0.4756043994334839,True
bright_1018.jpg,0.01171875,0.0390625,0.0390625,0.7746585785249527,True
bright_1019.jpg,0.24609375,0.1484375,0.109375,0.492672223750941,True
bright_102.jpg,0.04296875,0.0703125,0.015625,0.992550513954782,True
bright_1020.jpg,0.07421875,0.1171875,0.0234375,0.915963780911946,True
bright_1021.jpg,0.0078125,0.015625,0.0,0.9994888251606565,True
bright_1022.jpg,0.03515625,0.09375,0.0078125,0.8372045181745219,True
bright_1023.jpg,0.0546875,0.0546875,0.03125,0.5586380319795651,True
bright_1024.jpg,0.20703125,0.140625,0.203125,0.6304471789494887,True
bright_1025.jpg,0.05078125,0.046875,0.0625,0.9978971104767771,True
bright_1026.jpg,0.05078125,0.09375,0.0,0.8224076381193965,True
bright_1027.jpg,0.0390625,0.0390625,0.0078125,0.9920652202772618,True
bright_1028.jpg,0.01953125,0.046875,0.015625,0.9900942549350217,True
bright_1029.jpg,0.0625,0.078125,0.0,0.7090747842958758,True
bright_103.jpg,0.15625,0.1015625,0.046875,0.5980072436234387,True
bright_1030.jpg,0.09375,0.1015625,0.078125,0.36027052681400806,True
bright_1031.jpg,0.16015625,0.0546875,0.015625,0.5582934102344377,True
bright_1032.jpg,0.171875,0.1015625,0.03125,0.509570880191748,True
bright_1033.jpg,0.05859375,0.09375,0.015625,0.9726144398526206,True
bright_1034.jpg,0.2265625,0.171875,0.1328125,0.5963691553849293,True
bright_1035.jpg,0.10546875,0.1640625,0.0234375,0.24673771848986772,True
bright_1036.jpg,0.0859375,0.1484375,0.0390625,0.9897852485634248,True
bright_1037.jpg,0.046875,0.078125,0.0234375,0.9859318641894406,True
bright_1038.jpg,0.203125,0.109375,0.0625,0.5996085818340464,True
bright_1039.jpg,0.06640625,0.0546875,0.046875,0.6691474038420421,True
bright_104.jpg,0.01953125,0.0390625,0.0,0.9951366401904137,True
bright_1040.jpg,0.12109375,0.09375,0.125,0.517168905488354,True
bright_1041.jpg,0.11328125,0.0625,0.0234375,0.5824686648200499,True
bright_1042.jpg,0.04296875,0.0390625,0.0234375,0.6167451272340987,True
bright_1043.jpg,0.06640625,0.109375,0.0234375,0.6671861528720899,True
bright_1044.jpg,0.1171875,0.1328125,0.015625,0.9439551151355619,True
bright_1045.jpg,0.03515625,0.0546875,0.0390625,0.979268346521213,True
bright_1046.jpg,0.03125,0.0546875,0.0546875,0.6298074934398267,True
bright_1047.jpg,0.08203125,0.15625,0.0625,0.49983826054765973,True
